date,set,id,name,variant,oldPriceUsd,newPriceUsd,oldRange,newRange,sampleCount,observedMinUsd,observedMedianUsd,observedMaxUsd,sourceCsv,reason
2026-08-09,Ghost Files,S51/176,"Touya, the Ice Master",Standard,4.50,4.99,"$3 - $6","$4 - $6",1,4.99,4.99,4.99,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
2026-08-09,Ghost Files,S105/176,"Kayko's Promise",Standard,4.00,1.99,"$3 - $5","$1.50 - $3",1,1.99,1.99,1.99,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
2026-08-09,Ghost Files,S139/176,"School Girl Outfit",Standard,4.00,3.00,"$3 - $5","$2.50 - $4",1,3.00,3.00,3.00,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
2026-08-09,Ghost Files,G178/176,"Burst of Power",Standard,32.75,32.75,"Review baseline in notes","$20 - $50",2,15.50,32.75,50.00,tmp-visible-sold-sample-3.csv,"Keep median price; normalize range/status to priced"
2026-08-09,Dark Tournament,S21,"Yusuke, Unleashed",Standard,10.50,10.50,"Review baseline in notes","$9 - $12",2,9.00,10.50,12.01,tmp-visible-sold-sample-3.csv,"Keep median price; normalize range/status to priced"
2026-08-09,Dark Tournament,TR7,"Genkai, Young Fighter",Standard,9.50,17.99,"$7 - $12","$15 - $21",1,17.99,17.99,17.99,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
2026-08-09,Exile,L9,"Energy Spiral",Standard,10.00,14.99,"$8 - $12","$12 - $18",1,14.99,14.99,14.99,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
2026-08-09,Gateway,U6,"Bang!",Standard,7.50,10.00,"$5 - $10","$8 - $12",1,10.00,10.00,10.00,tmp-visible-sold-sample-3.csv,"Align to observed median from latest sold slice"
